Page Name,Page Views,Onload (s),First Byte (s),Largest Contentful Paint (s),Interaction to Next Paint (s),Cumulative Layout Shift,LCP Time to First Byte (ms),LCP Resource Load Delay (ms),LCP Resource Load Time (ms),LCP Element Render Delay (ms),LCP Time to First Byte (%),LCP Resource Load Delay (%),LCP Resource Load Time (%),LCP Element Render Delay (%),INP Start (ms),INP Input Delay (ms),INP Next Paint Time (ms)
STATIC,34339,4.92,0.62,4.25,0.18,1.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,46975,3.8,0.48,6.75,0.22,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,36159,3.12,0.6,5.17,0.22,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,93427,4.359999999999999,0.6,3.535,0.11499999999999999,0.9015,317.0,1185.5,204.5,173.0,14.5,41.0,9.5,26.0,26326.0,15.0,26462.5
STATIC,128623,3.375,0.56,3.53,0.155,0.837,271.5,1166.5,153.5,342.5,11.0,44.0,6.0,39.5,23292.0,16.5,23413.5
STATIC,28468,2.82,0.53,3.83,0.14,0.58,574.0,123.0,616.0,3204.0,20.0,8.0,34.0,91.0,44019.0,52.0,44147.0
STATIC,33858,8.06,0.62,4.45,0.18,0.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,73924,9.675,0.615,4.485,0.18,0.6214999999999999,329.5,1495.5,212.0,1662.0,10.5,41.5,12.0,46.5,28438.5,17.5,28210.0
STATIC,84844,9.73,1.75,4.09,0.26,0.506,1813.0,231.0,400.0,1944.0,62.0,6.0,11.0,51.0,25194.0,111.0,25587.0
STATIC,73050,2.72,0.59,7.1,0.22,0.673,628.0,7023.0,186.0,2511.0,17.0,91.0,3.0,89.0,29089.0,106.0,29267.0
STATIC,137352,13.41,1.77,4.59,0.29,0.478,1803.0,141.0,440.0,2469.0,61.0,3.0,10.0,57.0,30878.0,183.0,31383.0
STATIC,288377,4.845000000000001,0.655,3.725,0.16,0.7625,317.5,991.5,284.0,1448.5,11.5,36.0,14.0,46.5,8110.0,20.0,7951.5
STATIC,544461,3.3,0.605,4.675000000000001,0.21000000000000002,0.688,305.5,1996.0,152.5,1428.0,9.5,45.0,5.0,45.0,17654.0,27.0,17767.0
STATIC,89410,4.88,0.45,4.41,0.22,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,25200,20.41,1.02,3.92,0.49,0.11,1168.0,192.0,397.0,1762.0,42.0,7.0,16.0,61.0,12850.0,0.0,0.0
STATIC,46522,7.48,1.15,3.11,0.26,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,20882,24.94,1.05,7.12,1.03,0.099,1445.0,214.0,493.0,3269.0,42.0,6.0,15.0,71.0,134328.0,244.0,5297.0
STATIC,52880,4.72,0.92,2.66,0.16,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,43131,4.2,1.03,2.56,0.16,0.117,1294.0,214.0,450.0,1192.0,60.0,11.0,21.0,60.0,58429.0,49.0,58685.0
STATIC,218028,6.715,0.815,5.32,0.2,0.1405,2098.5,70.5,175.5,645.5,40.5,3.0,7.5,26.5,23014.5,26.5,22936.0
STATIC,148348,4.32,0.66,4.32,0.22,0.9119999999999999,354.0,370.0,276.5,1696.0,12.0,16.0,14.0,45.0,0.0,0.0,0.0
STATIC,29219,6.21,0.56,4.55,0.22,1.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,216381,4.65,0.615,4.1850000000000005,0.175,0.6499999999999999,408.0,43.5,200.0,1538.0,17.0,3.0,13.0,44.5,14361.0,33.5,11082.0
STATIC,288636,4.904999999999999,0.505,2.04,0.15500000000000003,0.1135,326.0,158.5,208.0,344.0,21.5,10.0,14.0,22.0,14527.0,17.0,14611.0
STATIC,50006,6.08,0.82,3.38,0.14,0.129,1816.0,1093.0,329.0,212.0,65.0,42.0,12.0,11.0,20184.0,41.0,20418.0
STATIC,2086756,5.215,1.755,3.155,0.19,0.6515,888.5,555.0,147.5,623.0,33.5,20.5,5.5,24.5,16165.5,22.5,15042.0
STATIC,404385,6.859999999999999,1.74,3.74,0.195,0.6255,1050.0,694.0,173.5,700.0,34.0,21.0,5.5,24.0,16562.0,22.5,16287.5
STATIC,117153,4.475,1.72,3.2199999999999998,0.16,0.308,906.0,58.5,202.5,616.5,34.5,2.5,9.0,24.5,10893.0,18.5,10726.0
STATIC,29546,3.78,1.67,3.21,0.21,0.515,1844.0,658.0,304.0,1302.0,69.0,28.0,13.0,48.0,26012.0,53.0,26847.0
STATIC,136330,2.94,0.6699999999999999,6.565,0.53,0.6865,338.0,2708.5,152.5,981.0,13.5,45.5,8.5,43.0,14033.0,75.0,14727.0
STATIC,29093,2.96,0.81,2.04,0.3,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,255566,4.41,0.56,4.365,0.195,0.7789999999999999,351.0,1464.0,224.0,85.5,11.0,42.0,7.0,32.5,17359.0,21.0,17452.5
STATIC,23708,3.17,0.62,4.36,0.18,0.741,662.0,3093.0,463.0,407.0,20.0,86.0,14.0,76.0,43840.0,46.0,44208.0
STATIC,193735,5.15,0.96,2.565,0.17,0.1825,646.5,76.5,205.0,405.5,30.0,4.5,10.0,21.5,12440.0,20.0,12497.5
STATIC,25902,15.18,1.01,4.03,0.57,0.115,1172.0,167.0,463.0,1751.0,45.0,6.0,19.0,61.0,28666.0,152.0,33989.0
STATIC,33727,6.66,0.31,2.7,0.23,0.132,1231.0,335.0,423.0,813.0,57.0,21.0,20.0,44.0,32589.0,75.0,32710.0
STATIC,44226,3.02,0.78,2.01,0.21,0.156,835.0,190.0,531.0,564.0,51.0,14.0,34.0,40.0,17193.0,1999.0,12129.0
STATIC,18672,3.93,0.96,2.23,0.22,0.178,1024.0,199.0,532.0,585.0,53.0,13.0,33.0,38.0,19796.0,72.0,19935.0
STATIC,61523,3.31,0.68,2.02,0.26,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,81866,3.68,0.81,2.29,0.22,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,32796,6.65,0.78,1.88,0.3,0.39,860.0,216.0,343.0,587.0,54.0,16.0,25.0,41.0,22988.0,183.0,23279.0
STATIC,94756,2.935,0.64,3.9000000000000004,0.18,0.6795,338.0,97.0,191.5,1336.5,13.5,8.0,13.0,44.5,24283.0,23.0,24307.0
STATIC,82461,6.34,0.65,5.605,0.185,0.7404999999999999,589.5,1904.5,116.5,668.0,15.0,43.0,2.5,34.5,35952.5,28.5,35992.5
STATIC,24009,3.9,1.04,2.5,0.14,0.118,1238.0,194.0,529.0,678.0,58.0,11.0,27.0,37.0,17105.0,32.0,16835.0
STATIC,204776,3.11,0.6,4.109999999999999,0.16999999999999998,0.724,313.5,1490.0,164.0,28.5,10.0,42.5,5.0,2.0,11963.5,19.5,12090.0
STATIC,1689709,3.255,0.57,4.244999999999999,0.115,1.022,285.0,1874.5,115.5,1269.5,9.0,44.0,3.5,45.5,10412.0,17.0,10596.0
STATIC,34741,5.08,0.66,4.21,0.44,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,29738,3.21,0.62,3.82,0.12,0.868,581.0,2818.0,459.0,294.0,22.0,94.0,18.0,50.0,29446.0,40.0,29555.0
SPLP,45173,4.855,0.725,4.1450000000000005,0.22,0.9864999999999999,512.0,90.0,154.0,1157.5,24.5,5.5,9.0,41.5,13442.0,69.0,13873.0
SPLP,13690,3.44,0.53,4.06,0.75,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15804.0,0.0,0.0
SPLP,29609,3.825,0.6799999999999999,4.609999999999999,0.5449999999999999,0.581,370.0,1931.5,106.5,481.0,11.0,42.0,3.0,18.5,22938.5,36.5,14760.5
SPLP,42830,3.83,0.71,5.125,0.595,0.5005,408.0,2048.0,110.5,763.0,11.5,41.0,4.0,32.5,19951.5,49.5,12072.0
SPLP,12132,2.83,0.78,4.47,0.38,0.297,759.0,3510.0,173.0,1141.0,24.0,81.0,6.0,66.0,9206.0,92.0,8294.0
SPLP,14398,2.98,0.53,3.3,0.27,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9638.0,0.0,0.0
SPLP,11438,2.62,0.64,4.29,0.26,0.285,527.0,3550.0,172.0,635.0,16.0,86.0,6.0,19.0,14535.0,43.0,15634.0
SPLP,13697,4.5,0.58,4.19,0.58,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17267.0,0.0,0.0
SPLP,13993,2.39,0.73,3.81,0.22,0.267,655.0,2993.0,164.0,489.0,22.0,86.0,7.0,23.0,9031.0,55.0,7684.0
SPLP,64767,3.995,0.645,4.300000000000001,0.5650000000000001,0.617,376.0,1620.5,109.5,283.5,12.5,41.5,3.5,10.0,23701.5,36.0,14209.5
SPLP,13059,4.36,0.55,3.95,0.63,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19119.0,0.0,0.0
SPLP,37579,3.0700000000000003,0.595,4.305,0.42000000000000004,0.5355,328.5,1805.0,77.5,351.0,10.5,42.5,2.5,10.5,18943.5,26.5,11365.0
SPLP,52402,4.03,0.645,4.17,0.45999999999999996,0.5705,341.5,1690.5,96.5,305.0,10.5,42.0,3.5,9.5,19110.0,22.5,11976.5
SPLP,29912,4.91,0.53,4.01,0.56,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17605.0,0.0,0.0
SPLP,13719,4.03,0.55,4.38,0.65,0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21462.0,0.0,0.0
SPLP,12880,3.64,0.54,4.71,0.78,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24387.0,0.0,0.0
SPLP,11453,2.66,0.78,4.11,0.28,0.28,729.0,3339.0,200.0,720.0,24.0,85.0,7.0,26.0,15933.0,51.0,17683.0
SPLP,32322,3.4749999999999996,0.6950000000000001,4.484999999999999,0.46499999999999997,0.484,388.0,1765.5,106.5,375.0,11.5,41.5,3.5,12.0,14829.5,37.5,8764.0
SPLP,15966,2.42,0.64,3.61,0.27,0.285,583.0,2886.0,155.0,159.0,24.0,87.0,7.0,9.0,7159.0,86.0,6770.0
