performance_score,Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DOM Duration (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift,fcp_category,interaction_lcp_tbt
42,2024-10-24 00:00,-1.1379773218495925,0.8854588091237361,0.44659755189677863,1.407660817995695,-0.6087322655865987,0.15197862818857635,0.6651803541000695,-0.04798488095717822,-0.3877764195698175,209382,-0.29837978760115463,-1.1084606838187685,-0.9882450423041187,needs_improvement,4.673100000000001
55,2024-10-25 00:00,-0.9481024993990561,0.6364793226055091,0.15173037692223143,-0.19459837552147496,-1.3131559682395222,-0.45323003361875536,0.2383640679839665,-1.3577281401680332,-0.4195984306824983,222562,-0.29837978760115463,-1.1315404773264297,-1.0033445401475296,needs_improvement,4.279000000000001
57,2024-10-26 00:00,-0.657179018028514,0.3874998360872821,-0.6837266188389783,-0.9181993016260049,-1.6213413381501764,-1.1684766339365111,-0.4018603611901918,-1.953065985263876,-0.6105304973585788,159735,-0.512458694265252,-1.154620270834091,-0.9968733267860679,needs_improvement,4.0875
57,2024-10-27 00:00,-0.6265750055734729,0.3874998360872821,-0.33971491470200804,-0.7114561798818535,-1.5332883753185609,-1.1684766339365111,-0.35917873257858035,-1.8935322007542916,-0.6423525084712582,175505,-0.512458694265252,-1.1777000643417523,-0.9925591845450933,needs_improvement,4.0932
55,2024-10-28 00:00,-1.2776770426438202,1.072193424012405,0.5940311393840478,0.2188878679668256,-1.2691294868237144,-0.12311621808748284,0.45177221104201803,-1.774464631735123,-0.1013783195556974,146932,-0.512458694265252,-1.1315404773264297,-0.8458783483519581,needs_improvement,4.301
56,2024-10-29 00:00,-1.2858301503016054,0.8854588091237361,0.3483084935719281,0.01214474622267647,-1.4012089310711375,-0.3982110643635445,0.28104569659557604,-1.8339984162447074,-0.22866636400641777,59721,-0.29837978760115463,-1.1777000643417523,-0.8286217793880599,needs_improvement,4.158
56,2024-10-30 00:00,-1.2875882328154138,0.7609690658646227,0.5940311393840478,0.16720208753078888,-1.4672486531948499,-0.12311621808748284,0.45177221104201803,-1.774464631735123,-0.578708486245898,2225,-0.29837978760115463,-1.2469394448647362,-0.8113652104241617,needs_improvement,4.011
57,2024-10-31 00:00,-1.2408547687758096,0.16964278538383276,-0.880304735488675,-0.3496557168295897,-1.819460504521311,-1.4435714802125728,-0.6579501328598528,-1.8935322007542916,-0.8969285973726989,27643,-0.29837978760115463,-1.3854182059107036,-0.8092081393036744,needs_improvement,3.6234
55,2024-11-01 00:00,-1.019838954319819,0.41862227190205975,0.10258584775980836,0.5290025505830528,-1.3791956903632343,0.3720545052094247,0.8359068685465115,-1.6553970627159542,-0.8014625640346593,212,-0.29837978760115463,-1.3392586188953812,-0.8221505660265981,needs_improvement,3.8986
57,2024-11-02 00:00,-0.17124501121193594,0.04515304212471926,-0.19228132721473884,-0.09122681464939925,-1.6653678195659842,-0.06809724883227199,0.5371354682652391,-1.7149308472255387,-1.0560386529360986,54,-0.29837978760115463,-1.3623384124030424,-0.8415642061109836,needs_improvement,3.73
57,2024-11-03 00:00,-0.019550199179475928,-0.14158157276394961,-0.43800397302685856,-0.24628415595751396,-1.7754340231055032,-0.5632679721291796,0.06763755353752456,-1.774464631735123,-1.0242166418234193,25,-0.29837978760115463,-1.3392586188953812,-0.8156793526651362,needs_improvement,3.7168
56,2024-11-04 00:00,-0.6180960793628567,0.13852034956905507,-0.04484773972746524,-0.14291259508543824,-1.4452354124869453,-0.34319209510833115,0.28104569659557604,-1.774464631735123,-0.9923946307107385,26,-0.08430088093705723,-1.2238596513570748,-0.8264647082675727,needs_improvement,4.0598
55,2024-11-05 00:00,-0.7705610079747348,0.3563774002725044,-0.04484773972746524,0.425630989710977,-1.1810765239920988,-0.17813518734269615,0.40909058243040847,-1.774464631735123,-0.9287506084853783,12,-0.08430088093705723,-1.2007798578494135,-0.8221505660265981,needs_improvement,4.226500000000001
55,2024-11-06 00:00,-1.0976751911797944,0.6053568867907314,0.10258584775980836,0.37394520927494035,-1.2691294868237144,-0.06809724883227199,0.45177221104201803,-1.7149308472255387,-0.5150644640205378,32,-0.3251396509341668,-1.2007798578494135,-0.8221505660265981,needs_improvement,4.1837
55,2024-11-07 00:00,-0.6124186194188088,0.16964278538383276,-0.09399226888988832,0.27057364840286463,-1.2911427275316187,-0.01307827957705868,0.49445383965362943,-1.6553970627159542,-0.9923946307107385,7,-0.512458694265252,-1.2469394448647362,-0.8329359216290345,needs_improvement,4.095
56,2024-11-08 00:00,-0.7752982759657462,0.13852034956905507,-0.2414258563771619,0.01214474622267647,-1.3791956903632343,-0.17813518734269615,0.40909058243040847,-1.6553970627159542,-0.9605726195980591,6,-0.512458694265252,-1.2930990318800586,-0.8350929927495216,needs_improvement,3.9758
56,2024-11-09 00:00,0.05124224186974205,-0.23494888020828544,-0.5362930313517047,-0.03954103421336253,-1.489261893902753,-0.5082490028739687,0.1103191821491341,-1.6553970627159542,-1.2151487084994999,13,-0.6997777375963372,-1.3161788253877198,-0.8458783483519581,needs_improvement,3.8862
57,2024-11-10 00:00,0.4216176761496345,-0.7640302890595171,-1.2734609687880685,-0.7114561798818535,-1.6873810602738877,-1.1684766339365111,-0.4445419898018013,-1.774464631735123,-1.5015468085136199,9,-0.7265376009293494,-1.3161788253877198,-0.8458783483519581,needs_improvement,3.7944000000000004
56,2024-11-11 00:00,-0.3800622172691283,0.26301009282816856,-0.19228132721473884,0.3222594288389013,-1.4012089310711375,-0.233154156597907,0.36640895381879707,-1.59586327820637,-0.7378185418092992,3,-0.7265376009293494,-1.2469394448647362,-0.9494177621353477,needs_improvement,4.0425
56,2024-11-12 00:00,-0.6625898991566095,0.6053568867907314,0.20087490608465453,0.3222594288389013,-1.3791956903632343,0.15197862818857635,0.62249872548846,-1.6553970627159542,-0.5468864751332186,6,-0.8603369175944103,-1.2007798578494135,-1.0011874690270424,needs_improvement,4.1302
42,2024-11-13 00:00,-0.07823098047595893,1.0099485523828495,0.5448866102216248,0.8908030136353189,-1.3351692089474265,1.0322821362719696,1.3907680404974487,-1.6553970627159542,-0.7059965306966184,15856,-0.9138566442604347,-1.2007798578494135,-1.0788420293645846,needs_improvement,4.1516
28,2024-11-14 00:00,-0.5671862138733312,1.819131883567086,1.6260662517949542,2.234633304972301,-0.8288646726656366,2.022623582865785,2.116355726894826,-1.4767957091872013,-0.3559544084571381,35563,-0.9138566442604347,-1.154620270834091,-1.0745278871236101,needs_improvement,4.479900000000001
41,2024-11-15 00:00,-0.30231484001447034,1.1966831672715186,0.6923201977088984,0.6840598918911674,-1.3351692089474265,1.252358013292818,1.5188129263322794,-1.59586327820637,-0.6423525084712582,41792,-0.7265376009293494,-1.154620270834091,-1.089627384967021,needs_improvement,4.2292000000000005
43,2024-11-16 00:00,0.15022706479527734,1.1033158598271855,0.5940311393840478,1.200917696251546,-1.247116246115811,1.0322821362719696,1.305404783274228,-1.5363294936967855,-0.7059965306966184,45137,-1.1546954142575443,-1.2007798578494135,-1.0421718203163008,needs_improvement,4.1944
56,2024-11-17 00:00,0.6739951984049326,0.26301009282816856,-0.5362930313517047,0.27057364840286463,-1.3791956903632343,-0.01307827957705868,0.45177221104201803,-1.6553970627159542,-1.0878606640487793,49764,-1.3152545942556164,-1.2007798578494135,-1.0335435358343517,needs_improvement,4.1302
27,2024-11-18 00:00,-0.5026951609646376,1.5390299612340814,1.3311990768204114,1.6144039397398466,-1.0049705983288677,1.252358013292818,1.5188129263322794,-1.59586327820637,-0.3241323973444573,36586,-0.9406165075934468,-1.1315404773264297,-1.1262975940153048,needs_improvement,4.433000000000001
38,2024-11-19 00:00,-0.16908371629550437,1.4456626537897455,1.5769217226325312,1.0975461353794704,-1.0930235611604833,1.252358013292818,1.6041761835555004,-1.59586327820637,-0.3559544084571381,39220,-0.8870967809274225,-1.0853808903111073,-1.1629678030635886,needs_improvement,4.468800000000001
38,2024-11-20 00:00,-0.09960601521313424,1.321172910530632,1.3803436059828347,1.0975461353794704,-1.1150368018683876,1.1423200747823938,1.4761312977206698,-1.6553970627159542,-0.5468864751332186,41837,-0.7265376009293494,-1.1084606838187685,-1.1564965897021267,needs_improvement,4.417800000000001
26,2024-11-21 00:00,-0.15664337155105743,1.5390299612340814,2.068367014256775,1.9245186223560737,-0.8728911540814454,1.4724338903136662,1.7322210693903308,-1.5363294936967855,-0.3877764195698175,69063,-0.9406165075934468,-1.1315404773264297,-1.150025376340665,needs_improvement,4.4990000000000006
38,2024-11-22 00:00,0.18743439695299685,1.0099485523828495,1.134620960170715,1.200917696251546,-1.1810765239920988,1.1423200747823938,1.4334496691090584,-1.5363294936967855,-0.6423525084712582,52629,-0.9406165075934468,-1.1777000643417523,-1.1543395185816396,needs_improvement,4.266000000000001
39,2024-11-23 00:00,0.814652309785484,0.5431120151611732,0.7414647268713215,0.6323741114551285,-1.2911427275316187,0.592130382230273,0.963951754381344,-1.5363294936967855,-1.0878606640487793,68227,-1.1546954142575443,-1.2007798578494135,-1.1543395185816396,needs_improvement,4.173
40,2024-11-24 00:00,1.5084040909693395,0.014030606309941575,0.004296789434957843,0.06383052665871318,-1.5553016160264654,-0.01307827957705868,0.5371354682652391,-1.5363294936967855,-1.4060807751755804,75959,-1.1546954142575443,-1.2007798578494135,-1.1608107319431011,needs_improvement,4.0446
39,2024-11-25 00:00,0.7188759874476486,0.8854588091237361,0.44659755189677863,0.8908030136353189,-1.3131559682395222,0.6471493514854839,1.0919966402161745,-1.4172619246776177,-0.5150644640205378,68807,-0.7265376009293494,-1.1084606838187685,-1.1543395185816396,needs_improvement,4.317900000000001
38,2024-11-26 00:00,0.4728676923863968,1.4456626537897455,1.134620960170715,1.3559750375596584,-1.2030897647000032,0.9772631670167564,1.3480864118858373,-1.3577281401680332,-0.13320033066837678,997554,-0.7265376009293494,-1.0853808903111073,-1.152182447461152,needs_improvement,4.412800000000001
39,2024-11-27 00:00,0.8325255116894489,1.227805603086299,0.9871873726834413,1.0458603549434313,-1.3131559682395222,0.8122062592511213,1.1773598974393955,-1.298194355658449,-0.22866636400641777,1782392,-0.9406165075934468,-1.1084606838187685,-1.1608107319431011,needs_improvement,4.317900000000001
41,2024-11-28 00:00,2.4925194424622745,0.5431120151611732,0.250019435247082,0.16720208753078888,-1.6873810602738877,0.26201656669900053,0.8359068685465115,-1.2386605711488645,-0.7378185418092992,2380325,-0.9406165075934468,-1.1084606838187685,-1.1564965897021267,needs_improvement,4.129200000000001
40,2024-11-29 00:00,8.05747357138198,-0.1727040085787273,-0.5854375605141279,-0.4530272777016654,-1.7534207823975998,-0.17813518734269615,0.3237273252071875,-0.9409916486009428,-1.0242166418234193,4115618,-1.1546954142575443,-1.1777000643417523,-1.1780673009069995,needs_improvement,3.9852000000000003
